Simulation Filename,Realistic Filename,Mean Square Error(MSE),Structural Similarity(SSIM),ERROR,Img Subtraction
2.0088.png,2.0087.png,0.01439987,0.6,0.4,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.00392157 0.00784314 0.00784314 ... 0.         0.         0.        ]
 [0.00784314 0.00784314 0.00784314 ... 0.         0.         0.        ]
 [0.00392157 0.00784314 0.00784314 ... 0.         0.         0.        ]]"
2.0090.png,2.0089.png,0.00902424,0.62,0.38,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.02352941 0.01960784 0.00784314 ... 0.         0.00784314 0.00784314]
 [0.05882353 0.04313725 0.01568627 ... 0.00392157 0.00784314 0.01568627]
 [0.09019608 0.06666667 0.03529412 ... 0.00392157 0.01176471 0.02352941]]"
2.0092.png,2.0091.png,0.01365099,0.61,0.39,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.1372549  0.11764706 0.06666667 ... 0.         0.         0.00392157]
 [0.1254902  0.10980392 0.08627451 ... 0.         0.00784314 0.01176471]
 [0.09411765 0.08627451 0.07058824 ... 0.00392157 0.00784314 0.00784314]]"
2.0094.png,2.0093.png,0.00780007,0.64,0.36,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.01176471 0.00784314 0.00392157 ... 0.         0.00392157 0.00784314]
 [0.01568627 0.01176471 0.00392157 ... 0.00392157 0.00784314 0.01176471]
 [0.01960784 0.00784314 0.00392157 ... 0.00392157 0.00392157 0.00784314]]"
2.0096.png,2.0095.png,0.00971412,0.64,0.36,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.00392157 0.00784314 0.01176471 ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.00392157]
 [0.         0.         0.         ... 0.         0.         0.00392157]]"
2.0098.png,2.0097.png,0.01377354,0.63,0.37,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.01176471 0.01176471 0.01568627 ... 0.         0.         0.00392157]
 [0.         0.         0.         ... 0.         0.         0.00392157]
 [0.01568627 0.01568627 0.01568627 ... 0.         0.         0.00392157]]"
2.0100.png,2.0099.png,0.00738701,0.66,0.33999999999999997,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.00392157 0.         0.         ... 0.03137255 0.04313725 0.02745098]
 [0.00392157 0.00392157 0.00784314 ... 0.01960784 0.02352941 0.01960784]
 [0.01176471 0.01176471 0.01176471 ... 0.00784314 0.00784314 0.00784314]]"
2.0102.png,2.0101.png,0.01211735,0.65,0.35,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.00392157 ... 0.         0.         0.00392157]
 [0.00392157 0.00392157 0.         ... 0.         0.         0.        ]
 [0.01176471 0.00392157 0.00392157 ... 0.         0.         0.        ]]"
2.0104.png,2.0103.png,0.01111959,0.66,0.33999999999999997,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.02745098 0.01568627 0.01176471 ... 0.         0.         0.00392157]
 [0.         0.00392157 0.00784314 ... 0.         0.         0.        ]
 [0.03137255 0.01960784 0.00392157 ... 0.         0.         0.        ]]"
2.0106.png,2.0105.png,0.00609219,0.69,0.31000000000000005,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.00784314 0.         0.         ... 0.         0.         0.        ]
 [0.00784314 0.00784314 0.00784314 ... 0.         0.         0.        ]
 [0.01568627 0.01176471 0.01176471 ... 0.         0.         0.        ]]"
